"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"1","szczecin","34",1,2,NA,"4,09","0,572","1,625","0,456","0,481","no","yes","no","yes",1700,"391"
"2","szczecin","39",2,5,2022,"5,02","0,976","2,157","1,309","0,546","yes","yes","yes","no",3400,"782"
"3","szczecin","47",2,4,2016,"1,65","0,231","0,564","0,255","0,331","yes","yes","yes","yes",2700,"621"
"4","szczecin","28",1,4,2017,"0,9","0,252","0,297","0,149","0,137","no","no","yes","no",2300,"529"
"5","szczecin","46,7",2,3,1996,"3,06","0,095","0,533","0,153","0,271","yes","yes","no","no",1850,"425,5"
"6","szczecin","47,55",2,NA,1972,"1,21","0,288","0,28","0,315","0,19","yes","no","yes","no",2150,"494,5"
"7","szczecin","71",3,1,NA,"4,46","0,998","1,249","0,675","0,091","no","yes","no","no",2500,"575"
"8","szczecin","47",2,NA,2020,"2,46","0,424","0,466","0,972","0,107","yes","yes","yes","no",2700,"621"
"9","szczecin","51,92",3,4,1930,"1,33","0,327","0,417","0,428","0,05","no","no","no","no",2300,"529"
"10","szczecin","58,66",2,3,2022,"0,07","0,168","0,795","0,21","0,39","no","no","yes","no",3500,"805"
"11","szczecin","47,1",2,NA,1980,"4,14","0,544","1,623","0,494","0,502","no","no","no","no",2500,"575"
"12","szczecin","65",2,3,2009,"5,11","0,142","1,022","0,524","0,108","yes","no","yes","yes",2500,"575"
"13","szczecin","35,7",2,NA,NA,"6,25","1,336","2,68","0,643","0,411","no","no","yes","no",2400,"552"
"14","szczecin","48,35",2,1,2009,"4,07","1,079","0,98","0,352","0,295","yes","yes","yes","no",2250,"517,5"
"15","szczecin","47,5",2,10,2016,"3,35","0,203","1,138","0,228","0,019","no","yes","yes","no",3000,"690"
"16","szczecin","38",2,5,NA,"1,21","0,233","0,479","0,592","0,335","no","yes","yes","no",2700,"621"
"17","szczecin","47,68",2,1,1940,"2,95","0,182","0,941","0,334","0,305","no","no","no","no",2200,"506"
"18","szczecin","64",3,NA,2010,"3,75","0,428","0,657","0,066","0,48","yes","no","no","no",3900,"897"
"19","szczecin","38",2,1,NA,"1,3","0,081","0,565","0,482","0,192","no","no","yes","no",2600,"598"
"20","szczecin","35",2,NA,2018,"5,31","1,753","2,655","1,855","0,49","no","no","no","no",2200,"506"
"21","szczecin","28,16",1,2,2023,"0,92","0,371","0,319","0,63","0,359","no","yes","yes","no",2300,"529"
"22","szczecin","53,4",4,4,NA,"2,52","0,247","0,493","0,458","0,022","no","no","no","no",3200,"736"
"23","szczecin","39",2,4,2011,"1,87","0,145","0,711","0,309","0,033","yes","no","yes","no",2300,"529"
"24","szczecin","57",3,6,2017,"2,62","0,219","0,756","0,208","0,309","yes","yes","yes","no",2700,"621"
"25","szczecin","37",2,2,2023,"6,14","1,884","3,478","1,809","0,838","yes","yes","yes","no",2300,"529"
"26","szczecin","47,9",2,NA,2024,"7,69","1,863","0,848","0,444","0,532","yes","no","yes","yes",2500,"575"
"27","szczecin","42",2,7,NA,"2,58","0,217","0,137","0,233","0,227","yes","yes","yes","no",2500,"575"
"28","szczecin","42",2,7,NA,"2,58","0,217","0,137","0,233","0,227","yes","yes","yes","no",2500,"575"
"29","szczecin","48,3",3,3,1965,"2,82","0,081","0,828","0,83","0,203","no","yes","no","no",2000,"460"
"30","szczecin","32",1,3,1970,"3,85","0,235","0,937","0,399","0,345","no","no","yes","no",2000,"460"
"31","szczecin","39,95",2,6,2015,"2,17","0,308","0,61","0,084","0,69","no","yes","yes","no",2100,"483"
"32","szczecin","39",2,6,2015,"2,26","0,221","0,538","0,153","0,608","no","yes","yes","no",2100,"483"
"33","szczecin","43",2,1,2020,"3,15","0,355","0,539","0,287","0,23","yes","no","yes","yes",2950,"678,5"
"34","szczecin","45,8",2,1,1967,"3,64","0,71","0,951","0,193","0,122","no","no","no","yes",2000,"460"
