"city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","hasParkingSpace","hasBalcony","hasElevator","priceInZloty","priceInEuro"
"szczecin",39,2,5,2022,5.02,0.976,"yes","yes","yes",3400,782
"szczecin",47,2,4,2016,1.65,0.231,"yes","yes","yes",2700,621
"szczecin",28,1,4,2017,0.9,0.252,"no","no","yes",2300,529
"szczecin",46.7,2,3,1996,3.06,0.095,"yes","yes","no",1850,425.5
"szczecin",51.92,3,4,1930,1.33,0.327,"no","no","no",2300,529
"szczecin",58.66,2,3,2022,0.07,0.168,"no","no","yes",3500,805
"szczecin",65,2,3,2009,5.11,0.142,"yes","no","yes",2500,575
"szczecin",48.35,2,1,2009,4.07,1.079,"yes","yes","yes",2250,517.5
"szczecin",47.5,2,10,2016,3.35,0.203,"no","yes","yes",3000,690
"szczecin",47.68,2,1,1940,2.95,0.182,"no","no","no",2200,506
"szczecin",28.16,1,2,2023,0.92,0.371,"no","yes","yes",2300,529
"szczecin",39,2,4,2011,1.87,0.145,"yes","no","yes",2300,529
"szczecin",57,3,6,2017,2.62,0.219,"yes","yes","yes",2700,621
"szczecin",37,2,2,2023,6.14,1.884,"yes","yes","yes",2300,529
"szczecin",48.3,3,3,1965,2.82,0.081,"no","yes","no",2000,460
"szczecin",32,1,3,1970,3.85,0.235,"no","no","yes",2000,460
"szczecin",39.95,2,6,2015,2.17,0.308,"no","yes","yes",2100,483
"szczecin",39,2,6,2015,2.26,0.221,"no","yes","yes",2100,483
"szczecin",43,2,1,2020,3.15,0.355,"yes","no","yes",2950,678.5
"szczecin",45.8,2,1,1967,3.64,0.71,"no","no","no",2000,460
"szczecin",26,1,4,1930,1.46,0.393,"yes","no","no",1800,414
"szczecin",54,2,3,1950,2.92,0.201,"no","no","no",2350,540.5
"szczecin",47.5,2,2,1960,1.02,0.453,"yes","yes","no",2300,529
"szczecin",49.5,2,3,1950,1.13,0.282,"no","no","no",2500,575
"szczecin",50,2,2,2009,6.55,0.329,"no","yes","no",2500,575
"szczecin",80,3,2,1920,1.55,0.378,"yes","no","no",3000,690
"szczecin",44,2,2,2023,5.13,1.394,"no","yes","yes",3500,805
"szczecin",32.42,1,11,2017,2.65,0.194,"yes","no","yes",2000,460
"szczecin",54,3,2,1937,2.27,0.33,"no","yes","no",3000,690
"szczecin",31,2,4,2017,2.01,0.114,"no","no","no",2099,482.77
"szczecin",58,2,6,2022,5.48,1.373,"no","yes","no",4500,1035
"szczecin",31,1,4,2018,0.7,0.321,"no","no","yes",2300,529
"szczecin",57.35,2,5,2008,1.51,0.261,"yes","yes","yes",2300,529
"szczecin",74,3,2,2010,1.04,0.173,"yes","yes","yes",3000,690
"szczecin",33.14,2,4,1940,2.02,0.186,"yes","no","no",1890,434.7
"szczecin",30,2,2,2010,8.33,1.184,"yes","yes","no",1700,391
"szczecin",38,2,3,2023,4.65,0.411,"yes","yes","yes",2400,552
"szczecin",34.8,2,4,2019,2.53,0.112,"yes","yes","yes",2200,506
"szczecin",32,1,3,1995,5.17,0.526,"no","yes","no",1750,402.5
"szczecin",64,2,4,2017,0.9,0.252,"no","no","yes",3000,690
"szczecin",26.28,1,1,1980,2.29,0.4,"yes","no","no",1500,345
"szczecin",57.2,3,1,1970,3.09,0.126,"yes","yes","yes",2500,575
"szczecin",64.5,3,3,2023,5.3,0.55,"yes","yes","yes",4500,1035
"szczecin",38.28,2,5,2023,1.53,0.335,"yes","yes","yes",2700,621
"szczecin",49.32,3,6,2023,1.53,0.335,"yes","yes","yes",3500,805
"szczecin",43,2,3,2023,1.5,0.32,"yes","yes","yes",2500,575
"szczecin",96.06,4,3,2009,4.87,0.159,"no","yes","no",4000,920
"szczecin",44.07,2,2,2024,4.61,0.319,"yes","no","yes",2450,563.5
"szczecin",36.49,2,2,2022,1.92,0.433,"yes","yes","yes",2700,621
"szczecin",84,3,3,1930,1.45,0.376,"yes","no","no",3300,759
"szczecin",50,2,1,1933,3.66,0.614,"no","yes","no",2300,529
"szczecin",47.5,2,10,2015,3.1,0.189,"no","no","yes",3350,770.5
"szczecin",44,2,1,2007,4.86,0.209,"no","yes","yes",2100,483
"szczecin",68.5,3,6,1970,3.63,0.561,"no","no","yes",3200,736
"szczecin",38,2,2,1950,4.67,0.294,"no","no","no",1800,414
"szczecin",42.54,2,1,2022,4.38,0.834,"no","yes","no",2200,506
"szczecin",43.14,2,3,1960,0.26,0.056,"no","yes","no",2500,575
"szczecin",46.9,2,2,2024,4.74,0.506,"yes","yes","yes",2600,598
"szczecin",37.91,2,3,2011,1.98,0.158,"yes","yes","yes",2400,552
"szczecin",73.73,3,1,1937,2.02,0.186,"no","yes","no",2900,667
"szczecin",38,2,3,1966,3.29,0.256,"no","no","no",2500,575
"szczecin",48.8,2,4,1995,5.06,0.53,"yes","yes","no",2100,483
"szczecin",80,3,2,2000,0.12,0.146,"no","yes","no",3950,908.5
"szczecin",25.2,1,4,1930,1.77,0.108,"no","no","no",1400,322
"szczecin",75,4,11,1988,0.79,0.288,"no","no","yes",2800,644
"szczecin",59.2,3,3,1979,3.3,0.323,"no","yes","no",2500,575
"szczecin",79,3,1,1997,4.58,0.591,"no","no","no",3000,690
"szczecin",34.74,2,3,2019,2.53,0.112,"yes","yes","yes",2100,483
"szczecin",36.7,2,2,1970,2.47,0.092,"no","no","no",2300,529
"szczecin",25,1,1,1960,1.52,0.338,"no","no","yes",1900,437
"szczecin",43,2,5,1964,1.45,0.173,"no","yes","no",1900,437
"szczecin",50.5,2,1,2022,5.29,1.303,"yes","yes","yes",2550,586.5
"szczecin",48.6,2,1,1990,3.53,0.109,"yes","yes","no",2300,529
"szczecin",37.17,2,1,2021,1.51,0.277,"no","no","yes",2600,598
"szczecin",54,2,3,1950,2.92,0.201,"no","no","no",2300,529
"szczecin",115,4,5,1995,2.6,0.413,"no","no","no",3950,908.5
"szczecin",80.96,4,4,1995,2.6,0.413,"yes","yes","no",4500,1035
"szczecin",43,2,4,2023,0.92,0.371,"yes","yes","yes",2800,644
"szczecin",39,2,2,2023,0.92,0.371,"yes","yes","yes",2800,644
"szczecin",34.09,1,2,1930,4.67,0.294,"no","no","no",1600,368
"szczecin",73,3,1,1930,1.04,0.173,"no","no","no",2500,575
"szczecin",41,2,4,1966,0.31,0.067,"no","yes","no",2500,575
"szczecin",29,2,3,2022,1.04,0.173,"no","no","yes",2500,575
"szczecin",38.17,2,4,1930,1.04,0.173,"no","no","no",2400,552
"szczecin",47,2,2,2011,4.08,0.088,"yes","yes","yes",2500,575
"szczecin",50,2,1,1920,3.18,0.134,"yes","no","no",1800,414
"szczecin",74,3,3,2005,1.15,0.604,"yes","yes","yes",3900,897
"szczecin",49.6,2,1,2012,1.64,0.171,"yes","yes","yes",3500,805
"szczecin",113.35,4,3,2011,0.2,0.136,"no","no","no",5000,1150
"szczecin",63.02,3,2,1934,2.85,0.261,"no","yes","no",2500,575
"szczecin",90,3,3,1900,0.79,0.288,"no","yes","no",3400,782
"szczecin",50,2,2,1930,4.32,0.467,"no","no","no",2400,552
"szczecin",26.8,1,4,1960,1.69,0.218,"no","no","yes",2000,460
"szczecin",43,2,5,2021,1.04,0.173,"no","no","yes",2150,494.5
"szczecin",25.7,1,4,1972,2.07,0.117,"no","no","yes",1800,414
"szczecin",53,2,4,1920,1.04,0.173,"no","no","no",2500,575
"szczecin",25.2,1,1,1980,2.81,0.083,"no","no","no",1700,391
"szczecin",31.29,2,3,2023,1.04,0.173,"no","yes","yes",2200,506
"szczecin",37,2,2,2003,3.53,0.109,"yes","no","no",1900,437
"szczecin",28.3,1,7,1970,1.79,0.17,"yes","yes","yes",1700,391
"szczecin",43,2,3,1960,0.3,0.072,"no","yes","no",2500,575
"szczecin",59,2,4,2009,2.15,0.251,"yes","no","yes",2800,644
"szczecin",65,3,2,2012,4.88,0.27,"yes","no","yes",3500,805
"szczecin",64.8,3,2,1990,1.32,0.169,"no","yes","yes",2600,598
"szczecin",36,2,8,1970,1.39,0.187,"yes","no","yes",1400,322
"szczecin",38,2,2,2020,0.92,0.371,"no","yes","yes",2400,552
"szczecin",56,3,1,1938,4.16,0.309,"no","no","no",2200,506
"szczecin",25.8,1,4,2021,1.59,0.308,"no","no","no",2000,460
"szczecin",60,2,1,2002,1.65,0.184,"no","yes","yes",2400,552
"szczecin",43,2,1,2020,3.15,0.355,"yes","no","yes",2950,678.5
"szczecin",49,3,7,2020,1.59,0.194,"yes","yes","yes",3500,805
"szczecin",38.9,2,4,2020,6.05,1.849,"yes","yes","yes",2700,621
"szczecin",30.5,1,4,2022,1.68,0.262,"no","no","yes",2800,644
"szczecin",113.35,4,3,2013,0.17,0.13,"no","yes","no",5000,1150
"szczecin",64,3,1,1950,4.32,0.467,"yes","no","no",2590,595.7
"szczecin",42,2,4,2005,0.62,0.199,"no","yes","yes",2700,621
"szczecin",58,2,2,2005,0.62,0.186,"yes","yes","yes",2850,655.5
"szczecin",55,2,2,2007,0.63,0.2,"yes","yes","yes",2850,655.5
"szczecin",90,4,4,2005,0.62,0.186,"yes","yes","yes",4200,966
"szczecin",58,2,2,2005,0.62,0.188,"yes","yes","yes",2850,655.5
"szczecin",45,2,3,2005,0.62,0.188,"no","yes","yes",2700,621
"gdynia",76.08,4,5,2011,4.79,0.168,"no","yes","yes",6500,1495
"gdynia",83,3,3,2013,2.98,2.763,"no","yes","no",4000,920
"gdynia",60,3,3,1980,6.3,0.118,"no","yes","no",2900,667
"gdynia",38.3,2,1,1960,1.44,0.152,"no","no","no",2100,483
"gdynia",51,3,11,1980,3.86,3.01,"no","yes","yes",2500,575
"gdynia",46.5,3,4,1971,4.34,0.391,"no","no","yes",1800,414
"gdynia",58.3,2,3,2016,0.48,0.507,"no","no","yes",4500,1035
"gdynia",39.49,2,1,2001,6.97,0.649,"no","yes","no",2400,552
"gdynia",44.2,2,4,1960,1.03,0.185,"no","yes","no",2300,529
"gdynia",105,3,2,2009,4.12,0.19,"no","yes","no",4500,1035
"gdynia",60,2,10,2009,0.68,0.561,"yes","yes","yes",3700,851
"gdynia",40,2,4,1974,6.32,2.39,"no","yes","no",2200,506
"gdynia",55,2,3,1960,1.07,0.427,"no","no","no",1900,437
"gdynia",41,2,8,1980,0.04,0.203,"no","yes","yes",2000,460
"gdynia",63.86,3,3,2008,3.68,0.502,"no","yes","yes",3500,805
"gdynia",56,3,3,1975,3.48,0.219,"no","yes","no",3000,690
"gdynia",50,2,15,2024,0.53,0.298,"no","yes","yes",4900,1127
"gdynia",55,2,16,2024,0.53,0.298,"no","yes","yes",4700,1081
"gdynia",75,3,4,2015,0.08,0.252,"yes","yes","yes",4300,989
"gdynia",63,3,5,2012,3.45,2.684,"yes","no","yes",2900,667
"gdynia",60.38,2,9,2004,3.49,0.251,"yes","no","yes",3250,747.5
"gdynia",30,1,1,1990,4.49,0.45,"no","yes","no",1800,414
"gdynia",43,2,2,2000,6.98,0.664,"no","yes","no",2300,529
"gdynia",49,2,1,1936,4.28,0.355,"no","no","no",2500,575
"gdynia",35,2,1,1983,5.62,1.796,"no","yes","no",1700,391
"gdynia",64.51,2,2,2017,5.4,0.64,"no","yes","yes",4500,1035
"gdynia",47,2,4,1980,3,0.158,"no","yes","yes",1800,414
"gdynia",56,2,4,2000,0.4,0.554,"no","yes","yes",4000,920
"gdynia",29.25,2,2,2019,0.97,0.412,"no","yes","no",2950,678.5
"gdynia",38,2,4,1967,0.53,0.423,"no","yes","yes",2300,529
"gdynia",43,2,3,2020,0.42,0.255,"no","yes","yes",3300,759
"gdynia",80,3,1,2006,6.42,0.419,"no","yes","no",2999,689.77
"gdynia",48,2,3,2023,0.51,0.281,"no","yes","yes",3900,897
"gdynia",37.48,2,3,2021,3.01,2.784,"yes","yes","yes",2700,621
"gdynia",28,1,1,2012,3.58,0.336,"no","yes","yes",2000,460
"gdynia",128.8,4,3,2000,2.06,0.08,"yes","yes","yes",7200,1656
"gdynia",45.63,3,7,1980,6.13,2.178,"no","yes","yes",1900,437
"gdynia",44,2,2,1937,2.6,2.374,"no","no","no",2300,529
"gdynia",40,2,2,2024,4.31,0.352,"no","yes","yes",3400,782
"gdynia",75,3,3,2022,2.11,0.197,"yes","yes","yes",4900,1127
"gdynia",41.1,2,3,2000,7.6,2.145,"no","no","no",2000,460
"gdynia",51,2,1,2017,4.56,0.23,"no","yes","yes",4000,920
"gdynia",56,2,1,2007,5.52,0.861,"no","yes","no",2500,575
"gdynia",55,3,1,2021,5.74,3.663,"no","no","no",2500,575
"gdynia",52,3,6,1980,5.05,1.098,"no","no","yes",2800,644
"gdynia",58.3,2,2,2023,1.57,0.33,"no","yes","yes",3900,897
"gdynia",97.27,4,1,2023,1.57,0.33,"no","yes","yes",7000,1610
