"","city","squareMeters","rooms","floor","buildYear","centreDistance","schoolDistance","clinicDistance","kindergartenDistance","pharmacyDistance","hasParkingSpace","hasBalcony","hasElevator","hasStorageRoom","priceInZloty","priceInEuro"
"1","szczecin",39,2,5,2022,5.02,0.976,2.157,1.309,0.546,"yes","yes","yes","no",3400,782
"2","szczecin",47,2,4,2016,1.65,0.231,0.564,0.255,0.331,"yes","yes","yes","yes",2700,621
"3","szczecin",28,1,4,2017,0.9,0.252,0.297,0.149,0.137,"no","no","yes","no",2300,529
"4","szczecin",46.7,2,3,1996,3.06,0.095,0.533,0.153,0.271,"yes","yes","no","no",1850,425.5
"5","szczecin",51.92,3,4,1930,1.33,0.327,0.417,0.428,0.05,"no","no","no","no",2300,529
"6","szczecin",58.66,2,3,2022,0.07,0.168,0.795,0.21,0.39,"no","no","yes","no",3500,805
"7","szczecin",65,2,3,2009,5.11,0.142,1.022,0.524,0.108,"yes","no","yes","yes",2500,575
"8","szczecin",48.35,2,1,2009,4.07,1.079,0.98,0.352,0.295,"yes","yes","yes","no",2250,517.5
"9","szczecin",47.5,2,10,2016,3.35,0.203,1.138,0.228,0.019,"no","yes","yes","no",3000,690
"10","szczecin",47.68,2,1,1940,2.95,0.182,0.941,0.334,0.305,"no","no","no","no",2200,506
"11","szczecin",28.16,1,2,2023,0.92,0.371,0.319,0.63,0.359,"no","yes","yes","no",2300,529
"12","szczecin",39,2,4,2011,1.87,0.145,0.711,0.309,0.033,"yes","no","yes","no",2300,529
"13","szczecin",57,3,6,2017,2.62,0.219,0.756,0.208,0.309,"yes","yes","yes","no",2700,621
"14","szczecin",37,2,2,2023,6.14,1.884,3.478,1.809,0.838,"yes","yes","yes","no",2300,529
"15","szczecin",48.3,3,3,1965,2.82,0.081,0.828,0.83,0.203,"no","yes","no","no",2000,460
"16","szczecin",32,1,3,1970,3.85,0.235,0.937,0.399,0.345,"no","no","yes","no",2000,460
